cellName,antID,antType,antEast,antNorth,antHeightAG,antDirection,antElecTilt,antMechTilt,freq,power,radius,model,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
Node_1,1,ANT-868-CW-HW,460741,99898,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_2,2,ANT-868-CW-HW,460746,99887,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_3,3,ANT-868-CW-HW,460752,99902,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_4,4,ANT-868-CW-HW,460757,99891,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_5,5,ANT-868-CW-HW,460770,99897,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_6,6,ANT-868-CW-HW,460764,99907,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_7,7,ANT-868-CW-HW,460759,99881,4.8,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_8,8,ANT-868-CW-HW,460785,99892,4.8,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_9,9,ANT-868-CW-HW,460787,99907,6,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_10,10,ANT-868-CW-HW,460779,99923,6,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Border_router_backup,11,ANT-868-CW-HW,460753,99915,7.7,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_12,12,ANT-868-CW-HW,460743,99911,7.7,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_13,13,ANT-868-CW-HW,460734,99907,7.9,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_14,14,ANT-868-CW-HW,460727,99895,6.7,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Border_router,15,ANT-868-CW-HW,460735,99876,7.1,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_16,16,ANT-868-CW-HW,460774,99886,7.1,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_17,17,ANT-868-CW-HW,460742,99865,5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_18,18,ANT-868-CW-HW,460731,99886,3.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_19,19,ANT-868-CW-HW,460761,99927,5.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
Node_20,20,ANT-868-CW-HW,460764,99921,5.5,0,0,0,868,0,10,ITUR1546-4,rural,50,,,,,,,,,
